"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","test_add_to_cart_button_is_displayed[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:47 UTC 2025","passed","Sat Jun 28 20:45:47 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","996","test_guest_can_add_promo_offer_product_to_basket[8-Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:49 UTC 2025","passed","Sat Jun 28 20:46:50 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","1823","test_user_can_add_product_to_basket[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:48:32 UTC 2025","passed","Sat Jun 28 20:48:34 UTC 2025","TestProductPageAsAuthenticatedUser","test_product_page","",""
"","1136","test_guest_can_add_promo_offer_product_to_basket[0-German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:03 UTC 2025","passed","Sat Jun 28 20:46:05 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","867","test_guest_can_add_new_year_promo_product_to_basket[Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:52 UTC 2025","passed","Sat Jun 28 20:45:53 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","453","test_create_new_object[Create object: Apple MacBook Pro 16]","requests_library.restful_api.tests","Sat Jun 28 20:44:32 UTC 2025","passed","Sat Jun 28 20:44:33 UTC 2025","TestObjects","test_objects","",""
"","10503","test_guest_cant_see_product_in_basket_opened_from_product_page[Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:47:28 UTC 2025","passed","Sat Jun 28 20:47:39 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","29","test_guest_should_see_login_link[Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:52 UTC 2025","passed","Sat Jun 28 20:44:52 UTC 2025","TestMainPage","test_main_page","",""
"","22","test_like_a_button_is_displayed","selenium_library.qa_practice.tests","Sat Jun 28 20:44:45 UTC 2025","passed","Sat Jun 28 20:44:45 UTC 2025","TestLikeButtonPage","test_like_a_button_page","",""
"","1060","test_guest_can_add_promo_offer_product_to_basket[8-Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:46 UTC 2025","passed","Sat Jun 28 20:46:47 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","29","test_guest_should_see_search_button[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:53 UTC 2025","passed","Sat Jun 28 20:44:53 UTC 2025","TestMainPage","test_main_page","",""
"","25","test_guest_should_see_login_link[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:50 UTC 2025","passed","Sat Jun 28 20:44:50 UTC 2025","TestMainPage","test_main_page","",""
"","10361","test_guest_cant_see_products_in_basket_opened_from_main_page[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:12 UTC 2025","passed","Sat Jun 28 20:45:23 UTC 2025","TestMainPage","test_main_page","",""
"","279","test_guest_should_see_login_link_on_product_page[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:55 UTC 2025","passed","Sat Jun 28 20:45:55 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","756","test_guest_can_add_promo_offer_product_to_basket[9-German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:53 UTC 2025","passed","Sat Jun 28 20:46:54 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","1336","test_user_can_add_product_to_basket[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:48:28 UTC 2025","passed","Sat Jun 28 20:48:29 UTC 2025","TestProductPageAsAuthenticatedUser","test_product_page","",""
"","923","test_guest_can_add_promo_offer_product_to_basket[6-German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:37 UTC 2025","passed","Sat Jun 28 20:46:38 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","10251","test_user_cant_see_success_message[Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:49:18 UTC 2025","passed","Sat Jun 28 20:49:29 UTC 2025","TestProductPageAsAuthenticatedUser","test_product_page","",""
"","853","test_guest_can_add_promo_offer_product_to_basket[1-Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:08 UTC 2025","passed","Sat Jun 28 20:46:09 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","10255","test_user_cant_see_success_message[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:48:40 UTC 2025","passed","Sat Jun 28 20:48:50 UTC 2025","TestProductPageAsAuthenticatedUser","test_product_page","",""
"","1013","test_guest_can_add_promo_offer_product_to_basket[4-Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:27 UTC 2025","passed","Sat Jun 28 20:46:28 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","403","test_get_object","requests_library.restful_api.tests","Sat Jun 28 20:44:34 UTC 2025","passed","Sat Jun 28 20:44:34 UTC 2025","TestObjects","test_objects","",""
